Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QV,Value of Agricultural Production,554,New Zealand,56,Gross Production Value (current thousand SLC),1341,Apples,2017,2017,1000 SLC,373650,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,56,Gross Production Value (current thousand SLC),1341,Apples,2018,2018,1000 SLC,350400,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,56,Gross Production Value (current thousand SLC),1341,Apples,2019,2019,1000 SLC,433924,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,56,Gross Production Value (current thousand SLC),1341,Apples,2021,2021,1000 SLC,472801,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,56,Gross Production Value (current thousand SLC),1341,Apples,2022,2022,1000 SLC,405134,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1341,Apples,2000,2000,1000 SLC,463967,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1341,Apples,2001,2001,1000 SLC,354505,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1341,Apples,2002,2002,1000 SLC,397090,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1341,Apples,2003,2003,1000 SLC,375059,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1341,Apples,2004,2004,1000 SLC,408590,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1341,Apples,2005,2005,1000 SLC,392127,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1341,Apples,2006,2006,1000 SLC,264910,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1341,Apples,2007,2007,1000 SLC,315048,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1341,Apples,2008,2008,1000 SLC,333757,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1341,Apples,2009,2009,1000 SLC,322532,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1341,Apples,2010,2010,1000 SLC,332375,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1341,Apples,2011,2011,1000 SLC,328831,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1341,Apples,2012,2012,1000 SLC,327102,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1341,Apples,2013,2013,1000 SLC,332393,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1341,Apples,2014,2014,1000 SLC,366683,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1341,Apples,2015,2015,1000 SLC,404100,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1341,Apples,2016,2016,1000 SLC,411583,E,Estimated value
