Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2004,2004,ha,590,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2004,2004,t,3914,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2005,2005,ha,480,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2005,2005,t,3678,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2006,2006,ha,500,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2006,2006,t,3700,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2007,2007,ha,457,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2007,2007,t,3500,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2008,2008,ha,450,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2008,2008,t,3400,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2009,2009,ha,426,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2009,2009,t,3200,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2010,2010,ha,454,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2010,2010,t,3415.76,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2011,2011,ha,423,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2011,2011,t,3220.23,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2012,2012,ha,434,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2012,2012,t,3296.47,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2013,2013,ha,457,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2013,2013,t,3436.26,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2014,2014,ha,530,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2014,2014,t,3943.94,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2015,2015,ha,438,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2015,2015,t,3275.55,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2016,2016,ha,421,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2016,2016,t,3094.87,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2017,2017,ha,445,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2017,2017,t,3266.62,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2018,2018,ha,392,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2018,2018,t,2852.28,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2019,2019,ha,385,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2019,2019,t,2780.9,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2020,2020,ha,376,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2020,2020,t,2724.78,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2021,2021,ha,376,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2021,2021,t,2720.2,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2022,2022,ha,271,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2022,2022,t,1949.24,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1343,Apricots,2023,2023,ha,271,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1343,Apricots,2023,2023,t,1938.56,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1211,Asparagus,2000,2000,ha,2177,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1211,Asparagus,2000,2000,t,4500,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1211,Asparagus,2001,2001,ha,2096,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1211,Asparagus,2001,2001,t,4500,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1211,Asparagus,2002,2002,ha,2015,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1211,Asparagus,2002,2002,t,4000,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1211,Asparagus,2003,2003,ha,1935,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1211,Asparagus,2003,2003,t,5300,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1211,Asparagus,2004,2004,ha,1500,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1211,Asparagus,2004,2004,t,6000,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1211,Asparagus,2005,2005,ha,1371,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1211,Asparagus,2005,2005,t,4680,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1211,Asparagus,2006,2006,ha,810,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1211,Asparagus,2006,2006,t,2920,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1211,Asparagus,2007,2007,ha,871,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1211,Asparagus,2007,2007,t,3200,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1211,Asparagus,2008,2008,ha,700,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1211,Asparagus,2008,2008,t,2400,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1211,Asparagus,2009,2009,ha,639,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1211,Asparagus,2009,2009,t,2200,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1211,Asparagus,2010,2010,ha,799,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1211,Asparagus,2010,2010,t,2624.56,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1211,Asparagus,2011,2011,ha,596,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1211,Asparagus,2011,2011,t,1969.06,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1211,Asparagus,2012,2012,ha,820,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1211,Asparagus,2012,2012,t,2736.75,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1211,Asparagus,2013,2013,ha,679,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1211,Asparagus,2013,2013,t,2286,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1211,Asparagus,2014,2014,ha,628,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1211,Asparagus,2014,2014,t,2078.89,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1211,Asparagus,2015,2015,ha,630,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1211,Asparagus,2015,2015,t,2086.8,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1211,Asparagus,2016,2016,ha,598,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1211,Asparagus,2016,2016,t,1993.94,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1211,Asparagus,2017,2017,ha,744,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1211,Asparagus,2017,2017,t,2474.93,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1211,Asparagus,2018,2018,ha,569,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1211,Asparagus,2018,2018,t,1894.34,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1211,Asparagus,2019,2019,ha,611,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1211,Asparagus,2019,2019,t,2036.37,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1211,Asparagus,2020,2020,ha,496,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1211,Asparagus,2020,2020,t,1650.85,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1211,Asparagus,2021,2021,ha,496,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1211,Asparagus,2021,2021,t,1635.45,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1211,Asparagus,2022,2022,ha,379,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1211,Asparagus,2022,2022,t,1252.68,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1211,Asparagus,2023,2023,ha,379,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1211,Asparagus,2023,2023,t,1255.69,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1311,Avocados,2000,2000,ha,2646,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1311,Avocados,2000,2000,t,12606,A,Official figure,
