year,region,landuse,area_ha
2012,Area Outside Region,Other livestock,47.00810328
2012,Area Outside Region,Sheep,18104.43373
2012,Auckland,Beef,63548.38759
2012,Auckland,Dairy,50368.77522
2012,Auckland,Other livestock,7834.718317
2012,Auckland,Sheep,21555.11888
2012,Bay of Plenty,Beef,49710.49427
2012,Bay of Plenty,Dairy,114609.5965
2012,Bay of Plenty,Other livestock,9508.023738
2012,Bay of Plenty,Sheep,33174.88549
2012,Canterbury,Beef,521895.6951
2012,Canterbury,Dairy,327111.9108
2012,Canterbury,Other livestock,117459.5871
2012,Canterbury,Sheep,1223710.907
2012,Gisborne,Beef,166111.7056
2012,Gisborne,Dairy,9174.99431
2012,Gisborne,Other livestock,4944.004777
2012,Gisborne,Sheep,172364.7953
2012,Hawke's Bay,Beef,268123.3086
2012,Hawke's Bay,Dairy,36104.54713
2012,Hawke's Bay,Other livestock,16107.2919
2012,Hawke's Bay,Sheep,330626.4524
2012,Manawatu-Whanganui,Beef,317432.26
2012,Manawatu-Whanganui,Dairy,200837.9363
2012,Manawatu-Whanganui,Other livestock,20158.36251
2012,Manawatu-Whanganui,Sheep,585341.7412
2012,Marlborough,Beef,163462.0203
2012,Marlborough,Dairy,16443.24216
2012,Marlborough,Other livestock,5588.045034
2012,Marlborough,Sheep,164744.8925
2012,Nelson,Beef,875.7322521
2012,Nelson,Dairy,909.2375964
2012,Nelson,Other livestock,400.4118141
2012,Nelson,Sheep,1017.918337
2012,Northland,Beef,227573.0905
2012,Northland,Dairy,189655.2814
2012,Northland,Other livestock,6902.416396
2012,Northland,Sheep,49071.31174
2012,Otago,Beef,383132.3713
2012,Otago,Dairy,129878.3987
2012,Otago,Other livestock,65489.30713
2012,Otago,Sheep,1341360.923
2012,Southland,Beef,135292.8694
2012,Southland,Dairy,241950.7855
2012,Southland,Other livestock,52351.48216
2012,Southland,Sheep,504211.963
2012,Taranaki,Beef,58328.92386
2012,Taranaki,Dairy,213190.4875
2012,Taranaki,Other livestock,3471.905874
2012,Taranaki,Sheep,53698.78279
2012,Tasman,Beef,25178.02749
2012,Tasman,Dairy,30319.21646
2012,Tasman,Other livestock,4022.030912
2012,Tasman,Sheep,31768.02514
2012,Waikato,Beef,261028.0907
2012,Waikato,Dairy,651553.4617
2012,Waikato,Other livestock,28326.33497
2012,Waikato,Sheep,188679.9126
2012,Wellington,Beef,83708.27582
2012,Wellington,Dairy,50273.96272
2012,Wellington,Other livestock,5350.393061
2012,Wellington,Sheep,179216.4684
2012,West Coast,Beef,28884.12689
2012,West Coast,Dairy,80807.72103
2012,West Coast,Other livestock,7254.180002
2012,West Coast,Sheep,10448.07208
2017,Area Outside Region,Beef,13089.76594
2017,Area Outside Region,Dairy,202.6989957
2017,Area Outside Region,Other livestock,35.08286691
2017,Area Outside Region,Sheep,12773.9522
2017,Auckland,Beef,70039.26142
2017,Auckland,Dairy,54340.07159
2017,Auckland,Other livestock,5797.046353
2017,Auckland,Sheep,42213.42063
2017,Bay of Plenty,Beef,53368.09921
2017,Bay of Plenty,Dairy,115149.2374
2017,Bay of Plenty,Other livestock,6535.557524
2017,Bay of Plenty,Sheep,33841.70582
2017,Canterbury,Beef,471875.1762
2017,Canterbury,Dairy,359081.1322
2017,Canterbury,Other livestock,105530.46
2017,Canterbury,Sheep,1062871.432
2017,Gisborne,Beef,151429.0324
2017,Gisborne,Dairy,5318.678092
2017,Gisborne,Other livestock,4183.385359
2017,Gisborne,Sheep,154669.8041
2017,Hawke's Bay,Beef,244186.7414
2017,Hawke's Bay,Dairy,34356.96733
2017,Hawke's Bay,Other livestock,13245.24216
2017,Hawke's Bay,Sheep,296925.7491
2017,Manawatu-Whanganui,Beef,309470.7961
2017,Manawatu-Whanganui,Dairy,193902.0462
2017,Manawatu-Whanganui,Other livestock,16729.34332
2017,Manawatu-Whanganui,Sheep,541094.2145
2017,Marlborough,Beef,126041.672
2017,Marlborough,Dairy,45747.76583
2017,Marlborough,Other livestock,2980.934896
2017,Marlborough,Sheep,149584.4273
2017,Nelson,Beef,2802.076786
2017,Nelson,Dairy,1606.525862
2017,Nelson,Other livestock,96.59899163
2017,Nelson,Sheep,2272.79836
2017,Northland,Beef,225367.208
2017,Northland,Dairy,180209.2849
2017,Northland,Other livestock,4985.092888
2017,Northland,Sheep,36163.31418
2017,Otago,Beef,325983.9118
2017,Otago,Dairy,126309.6457
2017,Otago,Other livestock,58006.03532
2017,Otago,Sheep,1167070.607
2017,Southland,Beef,127794.7394
2017,Southland,Dairy,250343.6953
2017,Southland,Other livestock,45275.28529
2017,Southland,Sheep,473491.48
2017,Taranaki,Beef,64286.6333
2017,Taranaki,Dairy,197922.9848
2017,Taranaki,Other livestock,2462.217005
